dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
neuma,subjectwise,roc_auc,eegnet,logreg,42,0.5049252402421305,0.532065291001799,-0.027140050759668626,-0.05095846941013839,-0.0030401789121217533,0.06953357236352531,0.035996400359964,-0.3350143977068042,-0.29138321995464855,16,0,26,0.722489634259091,0.395960403959604
neuma,subjectwise,roc_auc,eegnet,mlp,42,0.5049252402421305,0.5157822499395699,-0.010857009697439546,-0.030168918539065816,0.008742768234944779,0.38525727250589625,0.2947705229477052,-0.16549819992410517,-0.14625850340136054,20,0,22,1.0,1.0
neuma,subjectwise,roc_auc,eegnet,svm_rbf,42,0.5049252402421305,0.490982317378826,0.0139429228633043,-0.009073298245376626,0.03717469211827195,0.2477147658478316,0.26107389261073893,0.1761365108516608,0.1349206349206349,24,0,18,1.0,1.0
neuma,subjectwise,roc_auc,eegnet,xgboost,42,0.5049252402421305,0.5146955929936403,-0.009770352751509998,-0.03234102408122652,0.013106341896695975,0.5356738543805477,0.4216578342165783,-0.1257945192238659,-0.10997732426303855,19,0,23,1.0,1.0
neuma,subjectwise,roc_auc,logreg,mlp,42,0.532065291001799,0.5157822499395699,0.01628304106222908,0.006498827839737469,0.026533451724312946,0.001927167253143125,0.0031996800319968005,0.4876008114387029,0.17913832199546487,29,0,13,0.028907508797146875,0.04799520047995201
neuma,subjectwise,roc_auc,logreg,svm_rbf,42,0.532065291001799,0.490982317378826,0.041082973622972925,0.008677244569272583,0.07131740920099747,0.00865242383451914,0.014998500149985002,0.39020395141515035,0.4410430839002268,30,0,12,0.12113393368326797,0.194980501949805
neuma,subjectwise,roc_auc,logreg,xgboost,42,0.532065291001799,0.5146955929936403,0.017369698008158633,0.00229985752080536,0.03174769314252174,0.02581143920224349,0.029397060293970604,0.34643940663421224,0.20861678004535147,28,0,14,0.32440389511839385,0.35276472352764726
neuma,subjectwise,roc_auc,mlp,svm_rbf,42,0.5157822499395699,0.490982317378826,0.024799932560743847,-0.0043127793860207805,0.05218032897255537,0.0675851486321335,0.09259074092590741,0.26225569872695675,0.28798185941043086,26,0,16,0.722489634259091,0.9259074092590741
neuma,subjectwise,roc_auc,mlp,xgboost,42,0.5157822499395699,0.5146955929936403,0.0010866569459295483,-0.010532656134129664,0.013041809592630672,0.930992042690832,0.859014098590141,0.027482021541339195,0.031746031746031744,19,0,23,1.0,1.0
neuma,subjectwise,roc_auc,svm_rbf,xgboost,42,0.490982317378826,0.5146955929936403,-0.023713275614814296,-0.05187613403175906,0.004673075827180554,0.06568087584173554,0.1065893410658934,-0.2527789460087333,-0.24489795918367346,15,0,27,0.722489634259091,0.9593040695930406
restaurant_logo,subjectwise,roc_auc,deepconvnet,eegnet,15,0.5073427011260345,0.5560514109347442,-0.048708709808709776,-0.09235896113146112,-0.003997431657848319,0.083251953125,0.0542945705429457,-0.5505036796225341,-0.30666666666666664,5,0,10,0.802978515625,0.6642335766423357
restaurant_logo,subjectwise,roc_auc,deepconvnet,logreg,15,0.5073427011260345,0.6295589370506036,-0.12221623592456923,-0.2049718683862434,-0.04357348765432099,0.014329877528901415,0.011698830116988301,-0.737900116694144,-0.5911111111111111,2,1,12,0.21494816293352123,0.17548245175482452
restaurant_logo,subjectwise,roc_auc,deepconvnet,mlp,15,0.5073427011260345,0.5452121320037987,-0.03786943087776419,-0.10444665386311215,0.05353420414462082,0.041259765625,0.41025897410258977,-0.23433899136665265,-0.3511111111111111,3,0,12,0.536376953125,1.0
restaurant_logo,subjectwise,roc_auc,deepconvnet,svm_rbf,15,0.5073427011260345,0.5508353920770587,-0.043492690951024274,-0.11299055114638448,0.04524297483380804,0.072998046875,0.32996700329967005,-0.2683920068303958,-0.38666666666666666,3,0,12,0.802978515625,1.0
restaurant_logo,subjectwise,roc_auc,deepconvnet,xgboost,15,0.5073427011260345,0.5492468525301859,-0.041904151404151394,-0.09959957010582013,0.02248970110907611,0.12054443359375,0.22507749225077492,-0.3313913740689904,-0.3333333333333333,4,0,11,0.96435546875,1.0
restaurant_logo,subjectwise,roc_auc,eegnet,logreg,15,0.5560514109347442,0.6295589370506036,-0.07350752611585946,-0.1593357738095239,0.01676947301926468,0.12054443359375,0.14108589141085892,-0.40419539726424875,-0.28888888888888886,5,0,10,0.96435546875,1.0
restaurant_logo,subjectwise,roc_auc,eegnet,mlp,15,0.5560514109347442,0.5452121320037987,0.01083927893094559,-0.06417179894179896,0.11636376984126982,0.39672623294506304,0.9008099190080991,0.0584306277545528,-0.044444444444444446,5,1,9,1.0,1.0
restaurant_logo,subjectwise,roc_auc,eegnet,svm_rbf,15,0.5560514109347442,0.5508353920770587,0.005216018857685493,-0.06648527336860671,0.10463909942680767,0.42120361328125,0.9478052194780522,0.02948497795525043,-0.04,5,0,10,1.0,1.0
restaurant_logo,subjectwise,roc_auc,eegnet,xgboost,15,0.5560514109347442,0.5492468525301859,0.006804558404558385,-0.04405312126916295,0.07505429402387728,0.5994873046875,0.899010098990101,0.05453372237504206,-0.04,6,0,9,1.0,1.0
restaurant_logo,subjectwise,roc_auc,logreg,mlp,15,0.6295589370506036,0.5452121320037987,0.08434680504680504,0.011840347815764481,0.15993545363587022,0.072998046875,0.0547945205479452,0.5514506033098034,0.28,9,0,6,0.802978515625,0.6642335766423357
restaurant_logo,subjectwise,roc_auc,logreg,svm_rbf,15,0.6295589370506036,0.5508353920770587,0.07872354497354497,0.010548419312169311,0.14566521164021162,0.03533935546875,0.04509549045095491,0.5700029056964152,0.28,11,0,4,0.4947509765625,0.6313368663133687
restaurant_logo,subjectwise,roc_auc,logreg,xgboost,15,0.6295589370506036,0.5492468525301859,0.08031208452041785,0.011064614282322593,0.15150770171957664,0.05535888671875,0.051094890510948905,0.5556196781882191,0.26222222222222225,10,0,5,0.664306640625,0.6642335766423357
restaurant_logo,subjectwise,roc_auc,mlp,svm_rbf,15,0.5452121320037987,0.5508353920770587,-0.005623260073260091,-0.027622116402116422,0.01961696309862972,0.3341793830599732,0.665033496650335,-0.11837388633569539,0.013333333333333334,7,0,8,1.0,1.0
restaurant_logo,subjectwise,roc_auc,mlp,xgboost,15,0.5452121320037987,0.5492468525301859,-0.004034720526387203,-0.05419814263668433,0.046158856922398565,0.890380859375,0.8776122387761224,-0.03967411487781343,0.057777777777777775,6,0,9,1.0,1.0
restaurant_logo,subjectwise,roc_auc,svm_rbf,xgboost,15,0.5508353920770587,0.5492468525301859,0.0015885395468728876,-0.04396409484805319,0.045800644926061604,1.0,0.9453054694530547,0.017598389709268466,0.04,7,0,8,1.0,1.0
