dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
neuma,subjectwise,svm_rbf,1,S44,0.2413092200762535,82,0,-0.14900989016981744,-0.12328767123287676,0.40625,0.19466924730007473,0.40340909090909094,0.3925925925925926,0.3125,0.5,0.04525684505599478,0.4634146341463415
neuma,subjectwise,svm_rbf,2,S01,0.2597186042652504,69,0,-0.08906439003627367,-0.06912991656734202,0.4462962962962963,0.24107105616523197,0.4444444444444444,0.40266370699223086,0.4666666666666667,0.42592592592592593,0.04289634206794965,0.43478260869565216
neuma,subjectwise,svm_rbf,2,S02,0.2185541444863289,63,0,-0.17960530202677488,-0.031999999999999806,0.47619047619047616,0.4000065535864467,0.4773242630385487,0.24096385542168675,0.9523809523809523,0.0,0.08950419207239435,0.31746031746031744
neuma,subjectwise,svm_rbf,2,S03,0.2823696496535217,65,0,0.0,0.0,0.5,0.4442598342940631,0.5790816326530612,0.4298245614035088,0.0,1.0,0.005107463724731254,0.7538461538461538
neuma,subjectwise,svm_rbf,2,S05,0.2597186042652504,85,0,-0.017699933922154524,-0.013053348467650494,0.4877136752136752,0.15226544624597066,0.47435897435897434,0.43007662835249044,0.46153846153846156,0.5138888888888888,0.10586114972664873,0.5058823529411764
neuma,subjectwise,svm_rbf,2,S06,0.2823696496535217,139,0,-0.056816219808660196,-0.03415623943185686,0.48724747474747476,0.2816209863510148,0.425,0.426911544227886,0.025,0.9494949494949495,0.030976926192356313,0.6834532374100719
neuma,subjectwise,svm_rbf,2,S07,0.2630609544821845,86,0,-0.09089344255870231,-0.062418725617685133,0.4785714285714286,0.1683754822280032,0.40535714285714286,0.43790849673202614,0.0,0.9571428571428572,0.06794736651380334,0.7790697674418605
neuma,subjectwise,svm_rbf,2,S08,0.2823696496535217,83,0,-0.1127014325695366,-0.067524115755627,0.47580645161290325,0.2543689279374285,0.41013824884792627,0.4154929577464789,0.0,0.9516129032258065,0.00297068182976834,0.7108433734939759
neuma,subjectwise,svm_rbf,2,S09,0.2630609544821845,120,0,0.11489011838790002,0.08613445378151263,0.531832298136646,0.3373214302612763,0.500388198757764,0.5149825783972125,0.10714285714285714,0.9565217391304348,0.022568573328682617,0.7583333333333333
neuma,subjectwise,svm_rbf,2,S10,0.2568451893528937,273,0,0.05113099925649136,0.0052151238591917615,0.5067873303167421,0.18021735042082476,0.448746954403063,0.17488354037267081,1.0,0.013574660633484163,0.08853985279738312,0.20146520146520147
neuma,subjectwise,svm_rbf,2,S12,0.2568451893528937,103,0,0.060499014198202014,0.007293566032821053,0.5066666666666667,0.28647584370576407,0.4804761904761904,0.2285425101214575,1.0,0.013333333333333334,0.00421223572842333,0.2815533980582524
neuma,subjectwise,svm_rbf,2,S13,0.2185541444863289,315,0,-0.10998116501069449,-0.030707274100176374,0.47055352928556105,0.2483917901941267,0.48659086033040116,0.22819986597420006,0.8987341772151899,0.0423728813559322,0.013753245964161137,0.2571428571428571
neuma,subjectwise,svm_rbf,2,S14,0.2568451893528937,55,0,0.14708710135363803,0.042352941176470704,0.5375,0.47604998855816116,0.6733333333333333,0.2936480388753905,1.0,0.075,0.015922951578501827,0.32727272727272727
neuma,subjectwise,svm_rbf,2,S15,0.2185541444863289,215,0,-0.0011171225093474734,-0.00026210602188614374,0.4998043818466354,0.3515103648748207,0.5157472613458528,0.2730952380952381,0.971830985915493,0.027777777777777776,0.08993657054558746,0.3395348837209302
neuma,subjectwise,svm_rbf,2,S16,0.2823696496535217,224,0,0.07423591846868577,0.027856277755349268,0.5088654760375176,0.1933186668667551,0.4814338943851985,0.4688723462917011,0.023255813953488372,0.994475138121547,0.05763924108441931,0.8080357142857143
neuma,subjectwise,svm_rbf,2,S17,0.2185541444863289,90,0,0.0,0.0,0.5,0.45165287417387845,0.5761316872427984,0.23076923076923078,1.0,0.0,0.05592183447856913,0.3
neuma,subjectwise,svm_rbf,2,S18,0.2630609544821845,56,0,0.0,0.0,0.5,0.46957618575983595,0.5217948717948718,0.3488372093023256,0.0,1.0,0.2120295965308825,0.5357142857142857
neuma,subjectwise,svm_rbf,2,S19,0.2568451893528937,118,0,-0.05568791572157348,-0.013379135780148266,0.47944444444444445,0.19605603093940163,0.5538888888888889,0.19020443545474247,0.8888888888888888,0.07,0.12273735116037993,0.19491525423728814
neuma,subjectwise,svm_rbf,2,S20,0.2823696496535217,56,0,0.0,0.0,0.5,0.39843859524031355,0.6018099547511313,0.4105263157894737,0.0,1.0,0.056851249245059104,0.6964285714285714
neuma,subjectwise,svm_rbf,2,S21,0.2568451893528937,135,0,0.02651974176527183,0.0060721062618595,0.5057142857142857,0.309387396373245,0.5348571428571429,0.24415584415584415,0.9714285714285714,0.04,0.013952708703237227,0.2814814814814815
neuma,subjectwise,svm_rbf,2,S22,0.2823696496535217,79,0,-0.10098581681669559,-0.02523431867339565,0.48863636363636365,0.4096041068063878,0.4493506493506494,0.3524590163934426,0.0,0.9772727272727273,0.18769672456673941,0.5443037974683544
neuma,subjectwise,svm_rbf,2,S23,0.2568451893528937,70,0,-0.15192449462334673,-0.02872411489645965,0.48148148148148145,0.3023619431232746,0.33936261843238585,0.2708333333333333,0.9629629629629629,0.0,0.1401588020956806,0.37142857142857144
neuma,subjectwise,svm_rbf,2,S24,0.2597186042652504,221,0,0.12983811074579446,0.10335733847246165,0.5942820133234641,0.18688861712281596,0.6471132494448557,0.5158817086527929,0.5357142857142857,0.6528497409326425,0.13116121324721386,0.6380090497737556
neuma,subjectwise,svm_rbf,2,S25,0.2185541444863289,42,0,0.0930301170323837,0.01716068642745716,0.5161290322580645,0.2443134081343203,0.41055718475073316,0.24278846153846154,1.0,0.03225806451612903,0.02722561039065552,0.2857142857142857
neuma,subjectwise,svm_rbf,2,S26,0.2597186042652504,269,0,-0.05356126994424616,-0.05309517983851242,0.472072072072072,0.30645715684311736,0.5046332046332047,0.47138295259150087,0.3333333333333333,0.6108108108108108,0.054732372803193485,0.5241635687732342
neuma,subjectwise,svm_rbf,2,S27,0.2568451893528937,49,0,0.0,0.0,0.5,0.2861286564823794,0.46734693877551015,0.2222222222222222,1.0,0.0,0.029967340425366376,0.2857142857142857
neuma,subjectwise,svm_rbf,2,S28,0.2823696496535217,152,0,0.0,0.0,0.5,0.20703923317931489,0.48107653490328006,0.44727272727272727,0.0,1.0,0.06110466436960968,0.8092105263157895
neuma,subjectwise,svm_rbf,2,S29,0.2823696496535217,109,0,0.0,0.0,0.5,0.17197239267504805,0.40804597701149425,0.44387755102040816,0.0,1.0,0.054619395195526,0.7981651376146789
neuma,subjectwise,svm_rbf,2,S30,0.2185541444863289,53,0,0.04973358977281673,0.020395156150414318,0.5115942028985507,0.4622507519060876,0.5492753623188406,0.3619759236197592,0.9565217391304348,0.06666666666666667,0.19728344551018367,0.4528301886792453
neuma,subjectwise,svm_rbf,2,S31,0.2597186042652504,99,0,0.024780875500320376,0.024421593830334154,0.5128959276018099,0.3984730069501533,0.5479638009049774,0.5088438308886971,0.4411764705882353,0.5846153846153846,0.08496192249481627,0.5353535353535354
