dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
neuma,epochwise,svm_rbf,roc_auc,42,0,0.4966832497198582,0.48836331609105366,0.5054346420284248,0.49710984317053175,0.008055356592787409,5
neuma,permuted_subjectwise,deepconvnet,roc_auc,42,0,0.5051806160675787,0.4963866885435281,0.5140144622646027,0.5133618349572112,0.010359771646742793,5
neuma,permuted_subjectwise,eegnet,roc_auc,42,0,0.49446821847137457,0.4848916777232051,0.5039716930259016,0.49561732866755026,0.005955997655185641,5
neuma,permuted_subjectwise,logreg,roc_auc,42,0,0.5093702070741257,0.4997209528461996,0.5184543672548297,0.5104950023406507,0.014475448817113252,5
neuma,permuted_subjectwise,svm_rbf,roc_auc,42,0,0.49321499234792876,0.48335356876589414,0.502946531588315,0.4844505325656094,0.011085817956996908,5
neuma,subjectwise,deepconvnet,roc_auc,42,0,0.497483706605787,0.4807617691710533,0.5138700720448922,0.5051827952893554,0.011040315830552904,5
neuma,subjectwise,eegnet,roc_auc,42,0,0.5049252402421305,0.4902553968067764,0.5196657212796094,0.5051995830796943,0.011108740474224782,5
neuma,subjectwise,logreg,roc_auc,42,0,0.532065291001799,0.5112804531892686,0.5514225066031072,0.5288838164995765,0.005319634656913534,5
neuma,subjectwise,svm_rbf,roc_auc,42,0,0.490982317378826,0.4747931580327753,0.5058162823045812,0.48045842423780727,0.00843166848256114,5
restaurant_logo,epochwise,deepconvnet,roc_auc,15,0,0.5143825125491792,0.47834719288427624,0.5580930636955636,0.5097571428571428,0.019575920003691512,5
restaurant_logo,epochwise,eegnet,roc_auc,15,0,0.5385478361145027,0.4937022629222629,0.5882817227988062,0.5129952380952381,0.026662161184012583,5
restaurant_logo,epochwise,logreg,roc_auc,15,0,0.649342785917786,0.5814612680606431,0.7135978432370098,0.6647000000000001,0.00483399244860785,5
restaurant_logo,epochwise,svm_rbf,roc_auc,15,0,0.47705007800841137,0.4501733410493827,0.5029800535035952,0.4740714285714286,0.04388947156535057,5
restaurant_logo,permuted_subjectwise,deepconvnet,roc_auc,15,0,0.49328545312711974,0.4566922486772486,0.5294948941798939,0.4804142857142857,0.019798798607588666,5
restaurant_logo,permuted_subjectwise,eegnet,roc_auc,15,0,0.5384786223036222,0.4839607308201057,0.6115825607956856,0.5170904761904762,0.0420395138604573,5
restaurant_logo,permuted_subjectwise,logreg,roc_auc,15,0,0.5168883360466695,0.4686776521164021,0.554740465676299,0.5022952380952381,0.04434519456693295,5
restaurant_logo,permuted_subjectwise,svm_rbf,roc_auc,15,0,0.5077333876000542,0.47649071123321113,0.5484362918871252,0.49534761904761904,0.027586625468909835,5
restaurant_logo,subjectwise,deepconvnet,roc_auc,15,0,0.5073427011260345,0.4718950534188035,0.5472398677248675,0.4918904761904762,0.029843976743152128,5
restaurant_logo,subjectwise,eegnet,roc_auc,15,0,0.5560514109347442,0.5031633333333332,0.611031340388007,0.5007666666666666,0.022976905490971696,5
restaurant_logo,subjectwise,logreg,roc_auc,15,0,0.6295589370506036,0.5622251154015737,0.6998891159611991,0.5988,0.030270431154305916,5
restaurant_logo,subjectwise,svm_rbf,roc_auc,15,0,0.5508353920770587,0.4858991333435083,0.6066221050400216,0.5100952380952382,0.017801303170212685,5
ds007406,epochwise,deepconvnet,balanced_accuracy,10,0,0.43999999999999995,0.38,0.49674999999999886,0.3633333333333333,0.04136557881996951,5
ds007406,epochwise,eegnet,balanced_accuracy,10,0,0.47000000000000003,0.43,0.5066666666666666,0.4866666666666667,0.04642796092394705,5
ds007406,epochwise,logreg,balanced_accuracy,10,0,0.4766666666666667,0.4066666666666666,0.56,0.47333333333333333,0.052281290471193745,5
